sep=,
season,episode,episode_overall,title
1,1,1,Winter is Coming
1,2,2,The Kingsroad
1,3,3,Lord Snow
1,4,4,Cripples, Bastards and Broken Things
1,5,5,The Wolf and the Lion
1,6,6,A Golden Crown
1,7,7,You Win or You Die
1,8,8,The Pointy End
1,9,9,Baelor
1,10,10,Fire and Blood
2,1,11,The North Remembers
2,2,12,The Night Lands
2,3,13,What Is Dead May Never Die
2,4,14,Garden of Bones
2,5,15,The Ghost of Harrenhal
2,6,16,The Old Gods and the New
2,7,17,A Man Without Honor
2,8,18,The Prince of Winterfell
2,9,19,Blackwater
2,10,20,Valar Morghulis
3,1,21,Valar Dohaeris
3,2,22,Dark Wings, Dark Words
3,3,23,Walk of Punishment
3,4,24,And Now His Watch Is Ended
3,5,25,Kissed by Fire
3,6,26,The Climb
3,7,27,The Bear and the Maiden Fair
3,8,28,Second Sons
3,9,29,The Rains of Castamere
3,10,30,Mhysa
4,1,31,Two Swords
4,2,32,The Lion and the Rose
4,3,33,Breaker of Chains
4,4,34,Oathkeeper
4,5,35,First of His Name
4,6,36,The Laws of Gods and Men
4,7,37,Mockingbird
4,8,38,The Mountain and the Viper
4,9,39,The Watchers on the Wall
4,10,40,The Children
5,1,41,The Wars to Come
5,2,42,The House of Black and White
5,3,43,High Sparrow
5,4,44,Sons of the Harpy
5,5,45,Kill the Boy
5,6,46,Unbowed, Unbent, Unbroken
5,7,47,The Gift
5,8,48,Hardhome
5,9,49,The Dance of Dragons
5,10,50,Mother's Mercy
6,1,51,The Red Woman
6,2,52,Home
6,3,53,Oathbreaker
6,4,54,Book of the Stranger
6,5,55,The Door
6,6,56,Blood of My Blood
6,7,57,The Broken Man
6,8,58,No One
6,9,59,Battle of the Bastards
6,10,60,The Winds of Winter
7,1,61,Dragonstone
7,2,62,Stormborn
7,3,63,The Queen's Justice
7,4,64,The Spoils Of War
7,5,65,Eastwatch
7,6,66,Beyond the Wall
7,7,67,The Dragon and the Wolf
8,1,68,Winterfell
8,2,69,A Knight of the Seven Kingdoms
8,3,70,The Long Night
8,4,71,The Last of the Starks
8,5,72,The Bells
8,6,73,The Iron Throne
