character, season, episode, dialogue_count
catelyn stark,  Season 1,  Episode 1,  34
catelyn stark,  Season 1,  Episode 2,  21
catelyn stark,  Season 1,  Episode 3,  20
catelyn stark,  Season 1,  Episode 4,  6
catelyn stark,  Season 1,  Episode 5,  14
catelyn stark,  Season 1,  Episode 6,  1
catelyn stark,  Season 1,  Episode 7,  0
catelyn stark,  Season 1,  Episode 8,  6
catelyn stark,  Season 1,  Episode 9,  25
catelyn stark,  Season 1,  Episode 10,  11
catelyn stark,  Season 2,  Episode 1,  12
catelyn stark,  Season 2,  Episode 2,  2
catelyn stark,  Season 2,  Episode 3,  8
catelyn stark,  Season 2,  Episode 4,  16
catelyn stark,  Season 2,  Episode 5,  20
catelyn stark,  Season 2,  Episode 6,  10
catelyn stark,  Season 2,  Episode 7,  20
catelyn stark,  Season 2,  Episode 8,  7
catelyn stark,  Season 2,  Episode 9,  0
catelyn stark,  Season 2,  Episode 10,  6
catelyn stark,  Season 3,  Episode 1,  1
catelyn stark,  Season 3,  Episode 2,  13
catelyn stark,  Season 3,  Episode 3,  4
catelyn stark,  Season 3,  Episode 4,  5
catelyn stark,  Season 3,  Episode 5,  2
catelyn stark,  Season 3,  Episode 6,  1
catelyn stark,  Season 3,  Episode 7,  4
catelyn stark,  Season 3,  Episode 8,  0
catelyn stark,  Season 3,  Episode 9,  16
catelyn stark,  Season 3,  Episode 10,  0
catelyn stark,  Season 4,  Episode 1,  0
catelyn stark,  Season 4,  Episode 2,  0
catelyn stark,  Season 4,  Episode 3,  0
catelyn stark,  Season 4,  Episode 4,  0
catelyn stark,  Season 4,  Episode 5,  0
catelyn stark,  Season 4,  Episode 6,  0
catelyn stark,  Season 4,  Episode 7,  0
catelyn stark,  Season 4,  Episode 8,  0
catelyn stark,  Season 4,  Episode 9,  0
catelyn stark,  Season 4,  Episode 10,  0
catelyn stark,  Season 5,  Episode 1,  0
catelyn stark,  Season 5,  Episode 2,  0
catelyn stark,  Season 5,  Episode 3,  0
catelyn stark,  Season 5,  Episode 4,  0
catelyn stark,  Season 5,  Episode 5,  0
catelyn stark,  Season 5,  Episode 6,  0
catelyn stark,  Season 5,  Episode 7,  0
catelyn stark,  Season 5,  Episode 8,  0
catelyn stark,  Season 5,  Episode 9,  0
catelyn stark,  Season 5,  Episode 10,  0
catelyn stark,  Season 6,  Episode 1,  0
catelyn stark,  Season 6,  Episode 2,  0
catelyn stark,  Season 6,  Episode 3,  0
catelyn stark,  Season 6,  Episode 4,  0
catelyn stark,  Season 6,  Episode 5,  0
catelyn stark,  Season 6,  Episode 6,  0
catelyn stark,  Season 6,  Episode 7,  0
catelyn stark,  Season 6,  Episode 8,  0
catelyn stark,  Season 6,  Episode 9,  0
catelyn stark,  Season 6,  Episode 10,  0
catelyn stark,  Season 7,  Episode 1,  0
catelyn stark,  Season 7,  Episode 2,  0
catelyn stark,  Season 7,  Episode 3,  0
catelyn stark,  Season 7,  Episode 4,  0
catelyn stark,  Season 7,  Episode 5,  0
catelyn stark,  Season 7,  Episode 6,  0
catelyn stark,  Season 7,  Episode 7,  0
catelyn stark,  Season 8,  Episode 1,  0
catelyn stark,  Season 8,  Episode 2,  0
catelyn stark,  Season 8,  Episode 3,  0
catelyn stark,  Season 8,  Episode 4,  0
catelyn stark,  Season 8,  Episode 5,  0
catelyn stark,  Season 8,  Episode 6,  0
