episode,dialogue_count
1,253
2,247
3,304
4,317
5,419
6,258
7,213
8,147
9,318
10,195
11,231
12,270
13,219
14,197
15,258
16,282
17,307
18,301
19,223
20,202
21,233
22,316
23,271
24,111
25,298
26,248
27,315
28,210
29,159
30,248
31,377
32,242
33,254
34,202
35,259
36,223
37,226
38,176
39,84
40,195
41,189
42,187
43,198
44,193
45,167
46,214
47,185
48,189
49,79
50,137
51,102
52,153
53,167
54,258
55,154
56,84
57,140
58,162
59,142
60,131
61,144
62,210
63,308
64,296
65,337
66,103
67,329
68,228
69,293
70,73
71,36
72,190
73,199
