Season,Episode,Name
Season 1,Episode 1,waymar royce
Season 1,Episode 1,will
Season 1,Episode 1,waymar royce
Season 1,Episode 1,will
Season 1,Episode 1,gared
Season 1,Episode 1,royce
Season 1,Episode 1,gared
Season 1,Episode 1,royce
Season 1,Episode 1,will
Season 1,Episode 1,royce
Season 1,Episode 1,royce
Season 1,Episode 1,will
Season 1,Episode 1,gared
Season 1,Episode 1,royce
Season 1,Episode 1,gared
Season 1,Episode 1,jon snow
Season 1,Episode 1,jon snow
Season 1,Episode 1,septa mordane
Season 1,Episode 1,sansa stark
Season 1,Episode 1,septa mordane
Season 1,Episode 1,eddard stark
Season 1,Episode 1,jon snow
Season 1,Episode 1,robb stark
Season 1,Episode 1,jonrobb
Season 1,Episode 1,cassel
Season 1,Episode 1,eddard stark
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,cassel
Season 1,Episode 1,eddard stark
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,robb stark
Season 1,Episode 1,will
Season 1,Episode 1,will
Season 1,Episode 1,eddard stark
Season 1,Episode 1,will
Season 1,Episode 1,eddard stark
Season 1,Episode 1,jon snow
Season 1,Episode 1,eddard stark
Season 1,Episode 1,jon snow
Season 1,Episode 1,eddard stark
Season 1,Episode 1,jon snow
Season 1,Episode 1,eddard stark
Season 1,Episode 1,bran stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,bran stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,bran stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,bran stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,jon snow
Season 1,Episode 1,theon greyjoy
Season 1,Episode 1,eddard stark
Season 1,Episode 1,theon greyjoy
Season 1,Episode 1,eddard stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,robb stark
Season 1,Episode 1,jon snow
Season 1,Episode 1,jon snow
Season 1,Episode 1,bran stark
Season 1,Episode 1,cassel
Season 1,Episode 1,eddard stark
Season 1,Episode 1,theon greyjoy
Season 1,Episode 1,bran stark
Season 1,Episode 1,robb stark
Season 1,Episode 1,theon greyjoy
Season 1,Episode 1,bran stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,jon snow
Season 1,Episode 1,eddard stark
Season 1,Episode 1,bran stark
Season 1,Episode 1,jon snow
Season 1,Episode 1,robb stark
Season 1,Episode 1,theon greyjoy
Season 1,Episode 1,jaime lannister
Season 1,Episode 1,cersei lannister
Season 1,Episode 1,jaime lannister
Season 1,Episode 1,cersei lannister
Season 1,Episode 1,jaime lannister
Season 1,Episode 1,cersei lannister
Season 1,Episode 1,jaime lannister
Season 1,Episode 1,cersei lannister
Season 1,Episode 1,jaime lannister
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,maester luwin
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,luwin
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,jon snow
Season 1,Episode 1,theon greyjoy
Season 1,Episode 1,robb stark
Season 1,Episode 1,theon greyjoy
Season 1,Episode 1,robb stark
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,bran stark
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,bran stark
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,bran stark
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,bran stark
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,arya stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,robert baratheon
Season 1,Episode 1,robert baratheon
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,robert baratheon
Season 1,Episode 1,eddard stark
Season 1,Episode 1,arya stark
Season 1,Episode 1,sansa stark
Season 1,Episode 1,robert baratheon
Season 1,Episode 1,arya stark
Season 1,Episode 1,robert baratheon
Season 1,Episode 1,arya stark
Season 1,Episode 1,sansa stark
Season 1,Episode 1,eddard stark
Season 1,Episode 1,catelyn stark
Season 1,Episode 1,robert baratheon
Season 1,Episode 1,cersei lannister
Season 1,Episode 1,robert baratheon
Season 1,Episode 1,cersei lannister
Season 1,Episode 1,eddard stark
Season 1,Episode 1,robert baratheon
Season 1,Episode 1,eddard stark
Season 1,Episode 1,robert baratheon
Season 1,Episode 1,eddard stark
Season 1,Episode 1,robert baratheon
Season 1,Episode 1,eddard stark
Season 1,Episode 1,robert baratheon
Season 1,Episode 1,tyrion lannister
Season 1,Episode 1,ros
Season 1,Episode 1,tyrion lannister
Season 1,Episode 1,ros
Season 1,Episode 1,tyrion lannister
Season 1,Episode 1,ros
Season 1,Episode 1,tyrion lannister
Season 1,Episode 1,ros
Season 1,Episode 1,tyrion lannister
Season 1,Episode 1,ros
Season 1,Episode 1,tyrion lannister
Season 1,Episode 1,ros
Season 1,Episode 1,tyrion lannister
Season 1,Episode 1,tyrion lannister
Season 1,Episode 1,jaime lannister
Season 1,Episode 1,ros
Season 1,Episode 1,tyrion lannister
Season 1,Episode 1,jaime lannister
Season 1,Episode 1,tyrion lannister
Season 1,Episode 1,jaime lannister
Season 1,Episode 1,tyrion lannister
Season 1,Episode 1,jaime lannister
Season 1,Episode 1,tyrion lannister
Season 1,Episode 1,robert baratheon
